title_1|title_2|label
Object detection in 20 years: A survey|Recent progresses on object detection: a brief review|1
Object detection in 20 years: A survey|[PDF][PDF] A review on sentiment analysis methodologies, practices and applications|0
Object detection with deep learning: A review|A survey on performance metrics for object-detection algorithms|1
Object detection with deep learning: A review|Sentiment analysis on social media|0
Object detection|Unitbox: An advanced object detection network|1
Object detection|Probabilistic topic models|0
Relation networks for object detection|Recent advances in deep learning for object detection|1
Relation networks for object detection|A survey on sentiment analysis methods and approach|0
A review of object detection based on deep learning|Unitbox: An advanced object detection network|1
A review of object detection based on deep learning|Overview of the face recognition grand challenge|0
Deep neural networks for object detection|Relation networks for object detection|1
Deep neural networks for object detection|Deep face recognition: A survey|0
An empirical study of context in object detection|Efficientdet: Scalable and efficient object detection|1
An empirical study of context in object detection|[HTML][HTML] Progress in machine translation|0
You only look once: Unified, real-time object detection|Efficientdet: Scalable and efficient object detection|1
You only look once: Unified, real-time object detection|Overview of the face recognition grand challenge|0
A survey on performance metrics for object-detection algorithms|Scale-transferrable object detection|1
A survey on performance metrics for object-detection algorithms|Comparing and combining sentiment analysis methods|0
Towards open world object detection|Multiresolution models for object detection|1
Towards open world object detection|Statistical machine translation|0
Scale-transferrable object detection|Multiresolution models for object detection|1
Scale-transferrable object detection|Deep learning for face anti-spoofing: A survey|0
[PDF][PDF] Robust real-time object detection|Deep neural networks for object detection|1
[PDF][PDF] Robust real-time object detection|Quantitative analysis of large amounts of journalistic texts using topic modelling|0
[HTML][HTML] Deep learning for generic object detection: A survey|Scale-transferrable object detection|1
[HTML][HTML] Deep learning for generic object detection: A survey|[PDF][PDF] The LRC machine translation system|0
Interactive object detection|CenterNet++ for object detection|1
Interactive object detection|Arabic named entity recognition from diverse text types|0
A review of object detection techniques|Scale-transferrable object detection|1
A review of object detection techniques|Neural machine translation: A review|0
Scalable, high-quality object detection|A trainable system for object detection|1
Scalable, high-quality object detection|A survey of named entity recognition and classification|0
A survey of deep learning-based object detection|[HTML][HTML] Deep learning for generic object detection: A survey|1
A survey of deep learning-based object detection|Named entity recognition and relation extraction: State-of-the-art|0
[PDF][PDF] Object detection: an overview|Unitbox: An advanced object detection network|1
[PDF][PDF] Object detection: an overview|Joint sentiment/topic model for sentiment analysis|0
Object detection using the statistics of parts|Deep neural networks for object detection|1
Object detection using the statistics of parts|A new image representation algorithm inspired by image submodality models, redundancy reduction, and learning in biological vision|0
Imbalance problems in object detection: A review|Towards open world object detection|1
Imbalance problems in object detection: A review|Neural machine translation by jointly learning to align and translate|0
A review of object detection based on convolutional neural network|[HTML][HTML] Deep learning for generic object detection: A survey|1
A review of object detection based on convolutional neural network|Neural machine translation in linear time|0
Multiresolution models for object detection|Relation networks for object detection|1
Multiresolution models for object detection|SUMMAC: a text summarization evaluation|0
Recent progresses on object detection: a brief review|A review of object detection based on deep learning|1
Recent progresses on object detection: a brief review|Untangling invariant object recognition|0
CenterNet++ for object detection|Object detection|1
CenterNet++ for object detection|[BOOK][B] Named entity recognition and resolution in legal text|0
Face recognition: A literature survey|Overview of the face recognition grand challenge|1
Face recognition: A literature survey|A framework for named entity recognition in the open domain.|0
Face recognition: A literature review|Techniques and challenges of face recognition: A critical review|1
Face recognition: A literature review|A dataset and benchmark for large-scale multi-modal face anti-spoofing|0
Face recognition systems: A survey|Features and their configuration in face recognition|1
Face recognition systems: A survey|Object recognition|0
Face recognition using laplacianfaces|Linear regression for face recognition|1
Face recognition using laplacianfaces|[PDF][PDF] A statistical approach to machine translation|0
Understanding face recognition|The FERET evaluation methodology for face-recognition algorithms|1
Understanding face recognition|Celeba-spoof: Large-scale face anti-spoofing dataset with rich annotations|0
[PDF][PDF] A survey of face recognition techniques|Face recognition systems: A survey|1
[PDF][PDF] A survey of face recognition techniques|Neural machine translation by jointly learning to align and translate|0
Deep face recognition|Face recognition methods & applications|1
Deep face recognition|'What is this corpus about?': using topic modelling to explore a specialised corpus|0
Face recognition methods & applications|[PDF][PDF] An introduction to face recognition technology|1
Face recognition methods & applications|Machine translation|0
Past, present, and future of face recognition: A review|Techniques and challenges of face recognition: A critical review|1
Past, present, and future of face recognition: A review|Neural machine translation in linear time|0
[PDF][PDF] An introduction to face recognition technology|[PDF][PDF] Face recognition using eigenfaces|1
[PDF][PDF] An introduction to face recognition technology|An empirical study of context in object detection|0
Three-dimensional face recognition|Face recognition: A literature survey|1
Three-dimensional face recognition|[PDF][PDF] The Order of Things. A Study on Topic Modelling of Literary Texts.|0
Deep face recognition: A survey|Face recognition across pose: A review|1
Deep face recognition: A survey|Selective search for object recognition|0
[BOOK][B] Quo vadis face recognition?|[BOOK][B] Quo vadis face recognition?|1
[BOOK][B] Quo vadis face recognition?|[PDF][PDF] Statistical machine translation|0
Face recognition: Past, present and future (a review)|Face recognition in subspaces|1
Face recognition: Past, present and future (a review)|Sentiment analysis: A combined approach|0
Face recognition: challenges, achievements and future directions|Techniques and challenges of face recognition: A critical review|1
Face recognition: challenges, achievements and future directions|[BOOK][B] Machine translation|0
The FERET evaluation methodology for face-recognition algorithms|Face recognition from one example view|1
The FERET evaluation methodology for face-recognition algorithms|[PDF][PDF] Machine translation approaches: issues and challenges|0
Face recognition from long-term observations|[PDF][PDF] A feature based approach to face recognition|1
Face recognition from long-term observations|Text summarization using unsupervised deep learning|0
When face recognition fails.|Past, present, and future of face recognition: A review|1
When face recognition fails.|A survey of deep learning-based object detection|0
[PDF][PDF] Face recognition using eigenfaces|Multiresolution face recognition|1
[PDF][PDF] Face recognition using eigenfaces|Models of object recognition|0
Face recognition in subspaces|Face recognition from long-term observations|1
Face recognition in subspaces|Sentiment analysis on social media|0
Features and their configuration in face recognition|Face recognition: Past, present and future (a review)|1
Features and their configuration in face recognition|Object recognition|0
Techniques and challenges of face recognition: A critical review|Face recognition systems: A survey|1
Techniques and challenges of face recognition: A critical review|Multiresolution models for object detection|0
Face recognition across pose: A review|[PDF][PDF] A survey of face recognition techniques|1
Face recognition across pose: A review|A review of object detection techniques|0
[PDF][PDF] A feature based approach to face recognition|Techniques and challenges of face recognition: A critical review|1
[PDF][PDF] A feature based approach to face recognition|[PDF][PDF] A survey on automatic text summarization|0
Multiresolution face recognition|Understanding face recognition|1
Multiresolution face recognition|[PDF][PDF] LDA-based topic modelling in text sentiment classification: An empirical analysis.|0
[BOOK][B] Seeing: The computational approach to biological vision|The knowledge used in vision and where it comes from|1
[BOOK][B] Seeing: The computational approach to biological vision|[PDF][PDF] Object detection: an overview|0
[HTML][HTML] Bio-inspired computer vision: Towards a synergistic approach of artificial and biological vision|[HTML][HTML] Chemistry and biology of vision|1
[HTML][HTML] Bio-inspired computer vision: Towards a synergistic approach of artificial and biological vision|Object recognition|0
[HTML][HTML] Deep learning—Using machine learning to study biological vision|Computer vision imaging based on artificial intelligence|1
[HTML][HTML] Deep learning—Using machine learning to study biological vision|Software framework for topic modelling with large corpora|0
How biological vision succeeds in the physical world|Fabric defect detection based on biological vision modeling|1
How biological vision succeeds in the physical world|[PDF][PDF] Automatic text summarization (the state of the art 2007 and new challenges)|0
Common principles of image acquisition systems and biological vision|[HTML][HTML] Chemistry and biology of vision|1
Common principles of image acquisition systems and biological vision|Statistical machine translation|0
Deep neural networks: a new framework for modeling biological vision and brain information processing|A solution of the figure-ground problem for biological vision|1
Deep neural networks: a new framework for modeling biological vision and brain information processing|[PDF][PDF] A survey of text summarization extractive techniques|0
The detection of intensity changes by computer and biological vision systems|Fabric defect detection based on biological vision modeling|1
The detection of intensity changes by computer and biological vision systems|Meta-teacher for face anti-spoofing|0
[BOOK][B] Statistical decision theory and biological vision|Given time: Biology, nature and photographic vision|1
[BOOK][B] Statistical decision theory and biological vision|Applications of topic models|0
A solution of the figure-ground problem for biological vision|[BOOK][B] Pattern formation in biology, vision and dynamics|1
A solution of the figure-ground problem for biological vision|Evaluation measures for text summarization|0
[BOOK][B] An introduction to the biology of vision|The knowledge used in vision and where it comes from|1
[BOOK][B] An introduction to the biology of vision|[BOOK][B] Statistical machine translation|0
Fabric defect detection based on biological vision modeling|Polarization vision and its role in biological signaling|1
Fabric defect detection based on biological vision modeling|Topic models|0
Nonlinear mechanisms and higher-order statistics in biological vision and electronic image processing: review and perspectives|Parallel integration of vision modules|1
Nonlinear mechanisms and higher-order statistics in biological vision and electronic image processing: review and perspectives|Using appraisal groups for sentiment analysis|0
On the role of object-specific features for real world object recognition in biological vision|How biological vision succeeds in the physical world|1
